midi_s3_key,token_s3_key,artist,title
clean_midi/lakh_midi_clean/.38 Special/Caught Up In You.mid,processed/remi_tokens/Caught Up In You.npy,.38 Special,Caught Up In You
clean_midi/lakh_midi_clean/.38 Special/Fantasy Girl.mid,processed/remi_tokens/Fantasy Girl.npy,.38 Special,Fantasy Girl
"clean_midi/lakh_midi_clean/10,000_Maniacs/A_Campfire_Song.mid",processed/remi_tokens/A_Campfire_Song.npy,"10,000 Maniacs",A Campfire Song
clean_midi/lakh_midi_clean/101_Strings/Theme_From_The_Godfather.mid,processed/remi_tokens/Theme_From_The_Godfather.npy,101 Strings,Theme From The Godfather
clean_midi/lakh_midi_clean/10cc/Dreadlock_Holiday.1.mid,processed/remi_tokens/Dreadlock_Holiday.1.npy,10cc,Dreadlock Holiday.1
clean_midi/lakh_midi_clean/10cc/Dreadlock_Holiday.2.mid,processed/remi_tokens/Dreadlock_Holiday.2.npy,10cc,Dreadlock Holiday.2
clean_midi/lakh_midi_clean/10cc/Dreadlock_Holiday.3.mid,processed/remi_tokens/Dreadlock_Holiday.3.npy,10cc,Dreadlock Holiday.3
clean_midi/lakh_midi_clean/10cc/Dreadlock_Holiday.mid,processed/remi_tokens/Dreadlock_Holiday.npy,10cc,Dreadlock Holiday
clean_midi/lakh_midi_clean/10cc/Im_Not_In_Love.1.mid,processed/remi_tokens/Im_Not_In_Love.1.npy,10cc,Im Not In Love.1
clean_midi/lakh_midi_clean/10cc/Im_Not_In_Love.2.mid,processed/remi_tokens/Im_Not_In_Love.2.npy,10cc,Im Not In Love.2
clean_midi/lakh_midi_clean/10cc/Im_Not_In_Love.3.mid,processed/remi_tokens/Im_Not_In_Love.3.npy,10cc,Im Not In Love.3
clean_midi/lakh_midi_clean/10cc/Im_Not_In_Love.mid,processed/remi_tokens/Im_Not_In_Love.npy,10cc,Im Not In Love
clean_midi/lakh_midi_clean/10cc/The_Things_We_Do_for_Love.mid,processed/remi_tokens/The_Things_We_Do_for_Love.npy,10cc,The Things We Do for Love
clean_midi/lakh_midi_clean/1910_Fruitgum_Company/Simon_Says.1.mid,processed/remi_tokens/Simon_Says.1.npy,1910 Fruitgum Company,Simon Says.1
clean_midi/lakh_midi_clean/1910_Fruitgum_Company/Simon_Says.mid,processed/remi_tokens/Simon_Says.npy,1910 Fruitgum Company,Simon Says
clean_midi/lakh_midi_clean/20_Fingers/Lick_It.mid,processed/remi_tokens/Lick_It.npy,20 Fingers,Lick It
clean_midi/lakh_midi_clean/20_Fingers/Short_Dick_Man.mid,processed/remi_tokens/Short_Dick_Man.npy,20 Fingers,Short Dick Man
clean_midi/lakh_midi_clean/2Boys/I_Wont_Let_You_Down.mid,processed/remi_tokens/I_Wont_Let_You_Down.npy,2Boys,I Wont Let You Down
clean_midi/lakh_midi_clean/2_Brothers_on_the_4th_Floor/Come_Take_My_Hand.mid,processed/remi_tokens/Come_Take_My_Hand.npy,2 Brothers on the 4th Floor,Come Take My Hand
clean_midi/lakh_midi_clean/2_Brothers_on_the_4th_Floor/Dreams.1.mid,processed/remi_tokens/Dreams.1.npy,2 Brothers on the 4th Floor,Dreams.1
clean_midi/lakh_midi_clean/2_Brothers_on_the_4th_Floor/Dreams.mid,processed/remi_tokens/Dreams.npy,2 Brothers on the 4th Floor,Dreams
clean_midi/lakh_midi_clean/2_Brothers_on_the_4th_Floor/Let_Me_Be_Free.mid,processed/remi_tokens/Let_Me_Be_Free.npy,2 Brothers on the 4th Floor,Let Me Be Free
clean_midi/lakh_midi_clean/2_Brothers_on_the_4th_Floor/Never_Alone.1.mid,processed/remi_tokens/Never_Alone.1.npy,2 Brothers on the 4th Floor,Never Alone.1
clean_midi/lakh_midi_clean/2_Brothers_on_the_4th_Floor/Never_Alone.mid,processed/remi_tokens/Never_Alone.npy,2 Brothers on the 4th Floor,Never Alone
clean_midi/lakh_midi_clean/2_Unlimited/Get_Ready_for_This.mid,processed/remi_tokens/Get_Ready_for_This.npy,2 Unlimited,Get Ready for This
clean_midi/lakh_midi_clean/2_Unlimited/Here_I_Go.mid,processed/remi_tokens/Here_I_Go.npy,2 Unlimited,Here I Go
clean_midi/lakh_midi_clean/2_Unlimited/Let_the_Beat_Control_Your_Body.1.mid,processed/remi_tokens/Let_the_Beat_Control_Your_Body.1.npy,2 Unlimited,Let the Beat Control Your Body.1
clean_midi/lakh_midi_clean/2_Unlimited/Let_the_Beat_Control_Your_Body.2.mid,processed/remi_tokens/Let_the_Beat_Control_Your_Body.2.npy,2 Unlimited,Let the Beat Control Your Body.2
clean_midi/lakh_midi_clean/2_Unlimited/Let_the_Beat_Control_Your_Body.3.mid,processed/remi_tokens/Let_the_Beat_Control_Your_Body.3.npy,2 Unlimited,Let the Beat Control Your Body.3
clean_midi/lakh_midi_clean/2_Unlimited/Let_the_Beat_Control_Your_Body.mid,processed/remi_tokens/Let_the_Beat_Control_Your_Body.npy,2 Unlimited,Let the Beat Control Your Body
